1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1251,-0.02279517,-5.298408E-12,-9.85966E-07,NaN,NaN,NaN,NaN,NaN,
1253,-0.06597579,-1.414928E-11,-9.859943E-07,NaN,NaN,NaN,NaN,NaN,
1255,-0.01768931,2.099389E-11,-9.859524E-07,NaN,NaN,NaN,NaN,NaN,
1257,0.05537474,5.113893E-11,-9.858501E-07,NaN,NaN,NaN,NaN,NaN,
1259,0.05219532,3.519E-11,-9.857797E-07,NaN,NaN,NaN,NaN,NaN,
1261,-0.02279517,-4.760414E-12,-9.857893E-07,NaN,NaN,NaN,NaN,NaN,
1263,-0.06599145,-1.343774E-11,-9.858161E-07,NaN,NaN,NaN,NaN,NaN,
1265,-0.01767365,2.222607E-11,-9.857716E-07,NaN,NaN,NaN,NaN,NaN,
1267,0.05535908,5.237111E-11,-9.856669E-07,NaN,NaN,NaN,NaN,NaN,
1269,0.05221098,3.492968E-11,-9.855971E-07,NaN,NaN,NaN,NaN,NaN,
1271,-0.02277951,-4.690996E-12,-9.856064E-07,NaN,NaN,NaN,NaN,NaN,
1273,-0.06694685,-1.451373E-11,-9.856354E-07,0.1,-0.04928449,-0.008500611,-2.227669E-11,-1.325985E-11,
1275,-0.04296806,8.550606E-12,-9.856184E-07,NaN,NaN,NaN,NaN,NaN,
1277,0.008262916,3.387105E-11,-9.855506E-07,NaN,NaN,NaN,NaN,NaN,
1279,0.05466994,4.789361E-11,-9.854549E-07,NaN,NaN,NaN,NaN,NaN,
1281,0.06857795,4.225334E-11,-9.853703E-07,NaN,NaN,NaN,NaN,NaN,
1283,0.04174865,2.307645E-11,-9.853242E-07,NaN,NaN,NaN,NaN,NaN,
1285,-0.009873882,-1.614308E-13,-9.853245E-07,NaN,NaN,NaN,NaN,NaN,
1287,-0.05546647,-1.276091E-11,-9.853501E-07,NaN,NaN,NaN,NaN,NaN,
1289,-0.06783959,-8.109863E-12,-9.853662E-07,NaN,NaN,NaN,NaN,NaN,
1291,-0.03966334,1.290663E-11,-9.853404E-07,NaN,NaN,NaN,NaN,NaN,
1293,0.01233508,3.748081E-11,-9.852655E-07,NaN,NaN,NaN,NaN,NaN,
1295,0.05708192,4.869192E-11,-9.851681E-07,NaN,NaN,NaN,NaN,NaN,
1297,0.06790446,4.159387E-11,-9.85085E-07,NaN,NaN,NaN,NaN,NaN,
1299,0.03838128,2.104596E-11,-9.850428E-07,NaN,NaN,NaN,NaN,NaN,
1301,-0.01393039,-1.42832E-12,-9.850456E-07,NaN,NaN,NaN,NaN,NaN,
1303,-0.0578158,-1.281297E-11,-9.850713E-07,NaN,NaN,NaN,NaN,NaN,
1305,-0.06707215,-6.079369E-12,-9.850835E-07,NaN,NaN,NaN,NaN,NaN,
1307,-0.03620199,1.568337E-11,-9.850521E-07,NaN,NaN,NaN,NaN,NaN,
1309,0.01639158,3.862622E-11,-9.849748E-07,NaN,NaN,NaN,NaN,NaN,
1311,0.05933727,4.792832E-11,-9.84879E-07,NaN,NaN,NaN,NaN,NaN,
1313,0.06702739,4.013608E-11,-9.847987E-07,NaN,NaN,NaN,NaN,NaN,
1315,0.03490428,1.854689E-11,-9.847616E-07,NaN,NaN,NaN,NaN,NaN,
1317,-0.0179399,-3.250559E-12,-9.847681E-07,NaN,NaN,NaN,NaN,NaN,
1319,-0.05993019,-1.340303E-11,-9.84795E-07,NaN,NaN,NaN,NaN,NaN,
1321,-0.06751069,-5.593437E-12,-9.848061E-07,0.063096,-0.04890079,-0.0106354,-1.772494E-11,-1.41555E-11,
1323,-0.0503606,8.151449E-12,-9.847898E-07,NaN,NaN,NaN,NaN,NaN,
1325,-0.02086873,2.260788E-11,-9.847446E-07,NaN,NaN,NaN,NaN,NaN,
